,type,lyrics
10,1,bonefish bonefish a peacebone got found in the dinosaur wing well i've been jumpin all over but my views were slowly shrinking i was a jugular vein in a juggler’s girl i was supposedly leaking the most interesting colors while half of my fingers are dipped in the sand you progress in letters but you're used to cooking broccoli the other side of takeout is mildew on rice and an obsession with the past is like a dead fly and just a few things are related to the old times then we did believe in magic and we did die it's not my words that you should follow it's your insides you're just an inside adjust your insides you're just an inside  bonefish i bet the monster was happy when we made him a maze cause he don’t understand intentions and he just looks at your face  bonefish i bet the bubbles exploded to tickle the bath and all the birds are very curious all the fish were at the surface you might also like with half of me waiting for myself to get calm i'm like a pelican at red tide i'm a corpse i'm not a fisherman and a blow out does not mean i will have a good night and an obsession with the past is like a dead fly and just a few things are related to the old times then we did believe in magic and we did die it's not my words that you should follow it's your insides you're just an inside adjust your insides you're just an inside  bonefish bonefish well i start in a hose and i'll end in a yard when i feel like i'm stealing i can't keep myself from hearing god only the taste of your cooking can make me bow on the ground it was the clouds that carved the mountains  bonefish it was the mountains that made the kids scream oh well she bore all her parts but she never was found you think i'll carve a path through new york to be an artist but are you anything you find out that you can’t ask a baby to cry and an obsession with the past is like a dead fly and just a few things are related to the old times when we did believe in magic and we did die it's not my words that you should follow it's your inside adjust your insides you're just an inside inside inside inside inside inside inside inside peacebone peacebone peacebone peacebone peacebone  bonefish peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone peacebone bonefish
11,1,that’s just a snare; don’t be afraid of the snare i'm an evil genius disobedient villain you hate to love mischievous mysterious miscellaneous used to make love to complex simplicity all the time now she my star and i'm her sky and i ain't afraid to die i don't give a fuck mind young mind  i don't give a fuck mind young mind  i don't give a fuck mind young mind  i don't give a fuck mind young mind  i don't give a fuck indecisive enlightening frightening idol with the light-sensitive eye of the tiger fire flame dylan times  by the way skydiving tidal waves writing rhymes in oxygen scribing sonnets silently that inspire men and brightening environments that i have not been in obviously opting not to sing songs in sobriety subsiding the poison imploding our society functioning addict with clammy hands leaving my paraphernalia everywhere told lori i'll never do coke again but she did what she did and i'm here again i ain't pointing no fingers i'm still a man no i'm more than that you would know if you scrolled through my older tracks i'm just a romeo mourning his juliet hadit incomplete without nuit and do me a favor and save all that satanist shit you pagans gone pay for this shit i study theology ancient philosophy astronomy astrology the current state of the economy washington d c fossils and dinosaurs the origin of our species monatomic gold flowers grown in feces christ conscious pishon mocking jesus the chicken came before the egg's the thesis i bet she's an you might also like evil genius disobedient villain you hate to love mischievous mysterious miscellaneous used to make love to complex simplicity all the time now she my star and i'm her sky and i ain't afraid to die i don't give a fuck mind young mind  i don't give a fuck mind young mind  i don't give a fuck mind young mind  i don't give a fuck mind young mind  i don't give a fuck mind young mind fuck mind young mind fuck mind young mind fuck mind young mind heaven is missing its angel of fire your passion is needed right here on this earth when the lord calls for you after you die i’ll wait past my lifetime for you to return you be my star i'll be your sky you can hide underneath me and come out at night and when i turn jet black and you show off your light i live to let you shine i live to let you shine
12,1,yeah it's that real this time around immortal technique revolutionary vol  it's on now motherfucker lock and load this is the point of no return i can never go back life without parole upstate shackled and trapped livin in the hole lookin at the world through a crack but fuck that i'd rather shoot it out and get clapped i've gone too far there ain't no comin back for me auschwitz gas chamber full of zyklon- b just like the spanish exterminatin taínos rapin the black and indian women creating latinos motherfuckers made me out of self-righteous hatred and now you got yourself a virus stuck in the matrix a suicide bomber strapped and ready to blow lethal injection strapped down ready to go don't you understand they'll never let me live out in peace concrete jungle guerrilla war out in the streets nat turner with the sickle pitchfork and machete the end of the world motherfucker you not ready this is the point of no return and nobody can stop it malcolm little when he knelt before elijah muhammad the comet that killed the dinosaurs changin the earth they love to criticize they always say i change for the worse like prescription pills when you misusin em nigga the templar knights when they took jerusalem nigga and figured out what was buried under solomon's temple al- aqsa the name is not coincidental i know too much the government is tryin to murder me no comin back like cuttin your wrists open vertically how could the serpent be purposely put in charge of the country genetic-engineered sickness spread amongst me my people are so hungry that they attack without reason like a fuckin dog rippin off the hand that feeds him immortal technique is treason to the patriot act so come and get me motherfucker cause i'm not comin back you might also like this is the point from which i can never return and if i back down now then forever i burn this is the point from which i can never retreat cause if i turn back now there can never be peace this is the point from which i will die or succeed livin the struggle i know i'm alive when i bleed from now on it can never be the same as before cause the place that i'm from doesn't exist anymore this is the point of no return nigga you better believe this mary magdalene givin birth to the children of jesus the evolution of the world bloody and dramatic human beings killin monkeys to conquer the planet the kingdoms of africa and mesopotamia machine-gunnin your body with depleted uranium this is the age of microchips and titanium the dark side of the moon and contact with aliens i started out like australians: criminal-minded broke into hell tore it down and built a city behind it southpaw murderous methodology nigga remember that i'm just a man don't follow me nigga cause once you past the point you can never go home you've got to face the possibility of dyin alone so tell me motherfucker how could you die for the throne when you don't even got the fuckin heart to die for your own it rains acid one day the earth will cry from a stone and you'll be lookin at the world livin inside of a dome computerized humanity livin inside of a clone this is the place where the unknown is livin and real wormwood to planet x and the seventh seal universal truth is not measured in mass appeal this is the last time that i kneel and pray to the sky cause almost everything that i was ever told was a lie this is the point from which i can never return and if i back down now then forever i burn this is the point from which i can never retreat cause if i turn back now there can never be peace this is the point from which i will die or succeed livin the struggle i know i'm alive when i bleed from now on it can never be the same as before cause the place that i'm from doesn't exist anymore
13,1,we sit sideways ha-ha-ha-ha-ha-ha you can catch me sittin sideways in somethin pretty with the ratchet on me i stay strapped cause i always keep a package on me dirtay it gets serious niggas die here ya'll niggas had it up to now this is my year i'm dirtay movin coke thru the turnpike these niggas call me michael jackson cause they know the don turned white i live the goon's life and move with the moonlight a hundred bricks in the dark'a turn the room bright greenville we gridin round here sittin sideways with guns the size of dinosaur tales ha ha step yo swag up i only move with smart dudes and my trap pump more than your heart do fishscale yeah i'm scarred for life and slangin bricks in the jungle i got a tarzan price plus the money longer than the vines he swang on while ya'll niggas breakin buds we cut them bales with the chainsaw dirtay it's the clip when it cock back carbon- got more drums than a rock band ridin in a dropback i got plenty raw white-on-white benz the same color as some dental floss fuck fed fishscale move the big fish i'm so breaded you can call my money fish sticks you might also like you can catch me sittin sideways in somethin pretty with the ratchet on me i stay strapped cause i always keep a package on me dirtay it gets serious niggas die here ya'll niggas had it up to now this is my year i'm dirty and my eyes sittin real low and the coupe doors up like i just kicked a field goal a-ha-ha and hop off in a tahoe i blow so much color purple you call me harpo ya'll niggas can't get close to the don yeah i got more scraps than yo moms throwed to the dog bloody dada make you faded homie if i kill you the only way they find you is they gotta cut a couple gators open i been gangsta since i been born and these pussy niggas phonier than a  cent coin i'm a renegade i blow yo fuckin head off choppa so big look like i pulled my fuckin leg off sittin sideways i gotta kill this track i swear don dada got more white than the opposite of black this game been mine and ya'll try'na get it back and plus i love how ya'll hate this shit opposites attract and i got a red flag and i got a red ho and i'm grindin out in china so i'm gettin red dough fuck a lil beammer dada whip a red rove and the inside rudolph outside red nose i keep cocaine money ya heard i'm dead rich that mean i got more fish and bread than jesus fed with you can catch me sittin sideways in somethin pretty with the ratchet on me i stay strapped cause i always keep a package on me dirtay it gets serious niggas die here ya'll niggas had it up to now this is my year o k hommie dirty now shit's about to get wicked and bullets hoppin out the choppa like some muh fuckin crickets greenville that's my home it gets dirty here ain't nothin for a nigga to get murdered here i'm movin quick fast for this quick cash and keep a package on me like a nigga with a shit bag fresh outta jail so the don do it the con way hit the runway and holla at fam off in conway this the don way matta'fact the don day and i only move two blocks like a pawn play this my day off and don't feel like touchin nothin but i got some cocaine that jumpin like she double-dutchin you can catch me sittin sideways in somethin pretty with the ratchet on me i stay strapped cause i always keep a package on me dirtay it gets serious niggas die here ya'll niggas had it up to now this is my year
14,1,all the late night bargains have been struck between the satin beaus and their belles prehistoric garbage trucks have the city to themselves echoes and roars of dinosaurs they're all doing the monster mash and most of the taxis and most of the whores are only taking calls for cash mmm i don't know how it happened it all took place so quick but all i can do is hand it to you and your latest trick well now my door was standing open security was laid back and lax but it was only my heart got-a broken you must have had a pass key made out of wax you played robbery with insolence and i played the blues in twelve bars down on lovers lane and you never did have the intelligence to use the twelve keys hanging off of my chain see dire straits live get tickets as low as $ you might also like i don't know how it happened it all took place so quick but all i can do is hand it to you and your latest trick well now it's past last call for alcohol past recall has been here and gone the landlord he finally paid us all the satin jazzmen have put away their horns and we're standing outside of this wonderland looking so bereaved and so bereft like a bowery bum when he finally understands the bottle's empty and there's nothing left mmm i don't know how it happened it was faster than the eye could flick but all i can do is hand it to you and your latest trick
15,0,boop boop boop boop boop boop bap bap bap blap blap brrap brrap my gun got diarrhea when it boop boop boop boop boop y'all niggas with that barking shit that woo woo woo woo woo do you hear the  to  double  hold on let me slow it down r i p d j screw ooh niggas be thinking they real niggas niggas be thinking they shining niggas be thinking they diamonds my niggas movin in silence you niggas don't want a war i lay you down with the dinosaurs bitch i am a megazord in the streets you do not win awards i'm high as a hoverboard i don't compute like a motherboard i eat like a carnivore none of you niggas prepared for war this ain't what you heard before roll up the green like a herbivore this ain't what you heard before roll up the green like a herbivore like jordan you stay with the bullshit my nigga i'm done with the nonsense my nigga i'm outta my conscience i'm throwin my brain out the window a whole bunch of kush and some indo i'm bout to roll up with my kinfolk with all of the things that i seen it's looking just like what bush wrote roll it up smoke it up and put it through the glass pipe fuck around with me this'll probably be your last night first time she saw me it will probably be her last time when she call me back i'ma tell her it's a bad time you might also like i do not talk shit i'd rather just start shit out of my starship i slept with a goddess out of the darkness i feel like a goblin i am so heartless i'm feeling so heartless i am so heartless why am i so heartless i am so heartless why am i so heartless i am so heartless why am i so heartless i am so heartless why am i so heartless yeah
16,1,talkin diamonds on my fingers southside if young metro don't trust you i'm gon shoot you we the best music you can hear my diamonds talkin you can you can you can hear my diamonds talkin you can you can you can hear my diamonds talkin you can you can you can see my diamonds talkin you can you can you can see d j khaled i got patek on my arms  phillipe i got patek on my arms  phillipe i put patek on my arms  unique i put patek on my arms  woo i put patek on my arms  ah i put patek on my arms  woo ice i had to ice out my arms  ice ice i done iced out my charms you might also like bust it down bust it down bust it down this is a hundred patek  more for piguets  woo boardin a jet with a quart on my neck make her go board a plane with a brick on her breasts  hey woo i shoulda played for the mets  mets o g two-tone my patek  two-tone makin these bitches obsessed  woo makin these niggas grip t e cs  ahh flex on my ex  flex like my boy khaled say know we the best  aye she saw the patek and got undressed for sex  tek dinosaur drank i done found a t- rex unleashin the beast and i beat on my chest ah uh step on the peds  step on the peds patek on my flesh  ice ice lambo wings fly out the nest we do not settle for less  who i'm in the ghost with no head  ghost i'm thankin the lord cause i'm blessed  god and some of my niggas they dead  rest in peace pockets on gotti we pull the street in big body might pop a wheelie kawasaki we make the profit and cop it as soon as they drop it money fallin out of my pocket  hey i got patek on my arms i got patek on my arms i put patek on my arms i put patek on my arms i put patek on my arms i put patek on my arms i had to ice out my arms i done iced out my charms i had to ice out my arms  phillipe i had to ice out my arms  phillipe niggas gone ice out they arms  unique i put some ice on my arms  woo i got patek on my arms  ah i got patek on my arms  woo ice i had to ice out my arms  ice ice i done iced out my charms  woo ice ice woah woah i put v v s in my patek who want static  nigga don't touch my watch it's gon be tragic keep that bratchet on  fire tennis chains and tennis bracelets nigga like i play at wimbledon  gang gang bitch y'all niggas actin feminine gang gang bitch we gon pull up on your sprinter and  ice on my neck and on my arm it's drippin  ooh drippin saint laurent sweater lil bitch this ain't no coogi  yep bitch you shop at j c penney you not bad and boujee  patek drippin hublot drippin and i got a bust down rollie cost   audemars bust down cost   hol up hol up hol up hol up i got keys i got keys like khaled  keys my bed tempur- pedic i got an m in the mattress lil bitch    i got patek on my arms i got patek on my arms i put patek on my arms i put patek on my arms i put patek on my arms i put patek on my arms i had to ice out my arms i done iced out my charms i had to ice out my arms  phillipe i had to ice out my arms  phillipe niggas gone ice out they arms  unique i put some ice on my arms  woo i got patek on my arms  ah i got patek on my arms  woo ice i had to ice out my arms  ice ice i done iced out my charms yeah yeah the patek phillipe sit right on my wrist with a super bad bitch eatin right at phillipe know she fuckin with a winner jewelry lookin like a slushie fresh up out the blender maybe i hit her maybe i didn't even if i did i don't remember been a player since the very beginning stones in my charm never my denim no chain flooded like the levee broke huh incredible rappin it was either that or sellin dope shit let the dice roll now diamonds all on top of diamonds huh drippin let you know i gotta go i catch you anywhere you get strong-armed i'm talkin upstream on a paddle boat okay one car two shoes you in hot water like a pack of noodles yeah wife-beater no tattoos like wu- tang my cash rules yeah brand new richard mille and it's tourbillion  tourbillion bout to swap the patek for the vacheron  switch it i got patek on my arms i got patek on my arms i put patek on my arms i put patek on my arms i put patek on my arms i put patek on my arms i had to ice out my arms i done iced out my charms i had to ice out my arms  phillipe i had to ice out my arms  phillipe niggas gone ice out they arms  unique i put some ice on my arms  woo i got patek on my arms  ah i got patek on my arms  woo ice i had to ice out my arms  ice ice i done iced out my charms  woo i got patek on my arms i got patek on my arms i had to ice out my arms i done iced out my charms
17,0,i'd like to propose a toast. (sung here's to the ladies who lunch— everybody laugh— lounging in their caftans and planning a brunch on their own behalf off to the gym then to a fitting claiming they're fat and looking grim cause they've been sitting choosing a hat(spoken does anyone still wear a hat?(sung i'll drink to that here's to the girls who stay smart— aren't they a gas rushing to their classes in optical art wishing it would pass another long exhausting day another thousand dollars a matinee a pinter play perhaps a piece of mahler's— i'll drink to that(spoken and one for mahler you might also like(sung here's to the girls who play wife— aren't they too much keeping house but clutching a copy of life just to keep in touch the ones who follow the rules and meet themselves at the schools too busy to know that they're fools— aren't they a gem i'll drink to them let's all drink to them and here's to the girls who just watch— aren't they the best when they get depressed it's a bottle of scotch plus a little jest another chance to disapprove another brilliant zinger another reason not to move another vodka stinger— aaaaahhhhhh— i'll drink to that so here's to the girls on the go— everybody tries look into their eyes and you'll see what they know: everybody dies a toast to that invincible bunch the dinosaurs surviving the crunch— let's hear it for the ladies who lunch everybody rise rise rise rise rise rise rise rise rise
18,0,they made you cry but that will end tonight you are the only thing that's right about this broken world go on and cry but when the morning comes we'll burn it down and then we'll build the world again our love is god are you okay i was alone i was a frozen lake but then you melted me awake see now i'm crying too you're not alone you're not alone and when the morning comes you might also like when the morning comes we'll burn away that tear and raise our city here raise our city here our love is god yeah-lo hi kurt it's veronica how did you guys know it was always a fantasy of mine to have two guys at once wowuhh lucky guess well if you want it to come true meet me at the cemetery at dawn free pussy and we don't even have to buy it a pizza punch it in whaat hahaha we can start and finish wars we're what killed the dinosaurs we're the asteroid that's overdue the dinosaurs choked on the dust they died because god said they must the new world needed room for me and you i worship you i'd trade my life for yours they all will disappear we'll plant our garden here plant our garden here our love is god our love is god our love is god our love is god whoa is that real yeah but we're filling it with  ich lüge bullets ich lüge what my grandad scored them in world war i i they contain this powerful tranquilizer the nazis used them to fake their own suicides when the russians invaded berlin we will use them to knock kurt and ram out just long enough to make it look like a suicide pact complete with a forged suicide note:  ram and i died because we had to hide our gay forbidden love from a misapproving world and when the morning comes they'll both be laughing stocks so let's go hunt some jocks hi veronica so do we just whip it out or what take it slow ram strip for me ok okaaay what about you oh well i was hoping you could rip my clothes off me sport yeah we can do that count of three one two… three holy crap stay there i’ll get him kurt kurt you killed my best friend ram why are you chasing me ram you're just unconscious right ram ram i was just kidding about the bo diddley thing get off the fence get off the damn fence i don't understand we can start and finish wars we're what killed the dinosaurs we're the asteroid that's overdue stop being a dick the dinosaurs will turn to dust what does that mean they'll die because we say they must what the fuck have you done  i worship you i'd trade my life for yours we'll make them disappear we'll plant our garden here our love is god our love is god our love is god our love is god our love is god our love is god our love is god… our love is god our love is god…
19,0,hey man them ain't high heel sneakers and they sure don't look like cowboy boots and that ain't rock and roll you're playin and it sure ain't country or rhythm and blues you're singin a song about makin love to your drummer well gay guitar pickers don't turn me on and we don't all get into donna summer do you happen to know any ol hank williams songs  cause you see i'm a dinosaur i should have died out a long time before have pity on a dinosaur hand me my hat excuse me man but where's the door used to be i had a lot of fun in this old hangout we'd get stoned at the jukebox and stay out of fights now and then light a little smoke in the truck out back then a little old jim beam and we'd get right and you know these flashin lights sure make me dizzy and this disco's very strange to my ears it looks like they've turned the longhorn into a spaceship and i'll be leavin just as soon as i finish this beer you might also like  cause you see i'm a dinosaur should have died out a long time before there's a whole lot of dinosaurs so give us our hats excuse me man but where's the door get us our hats excuse me man but where's the door
20,1,barney is a dinosaur from our imagination and when he's tall he's what we call a dinosaur sensation barney's friends are big and small they come from lots of places after school they meet to play and sing with happy faces barney shows us lots of things like how to play pretend a b c's and s and how to be a friend barney comes to play with us whenever we may need him barney can be your friend too if you just make-believe him you might also like
21,0,metro metro in this bitch goin brazy strike like a match knock him out his hat knife to a gun fight this ain't none of that had to cut her off she got too attached i ain't wastin time that i'm never gettin back takin less l's makin more m's put her skims on now she actin like she kim take it to the paint take it to the rim you look good on camera baby let's go make a film big diamonds big puns v s1's long guns home runs i'm the don i can hang in the trenches with no one plenty switches with extensions it's no fun givin out spankings ridin with lil'— cause he shoot without thinkin baptize a nigga send him home in a blanket upgrade a bitch and put some diamonds in her anklet better not get no throw up on my seat i know you drinkin you ain't fuck no rapper you a dinosaur you ancient i like fried rice you better cook like you an asian wrote a lot of verses but i never wrote no statement i been in them rooms i never did no contemplatin this bitch wanna argue i ain't doin no debatin seen her with her nigga waved my hand i'm like  hey friend lookin at the shade room that shit be entertainin tryna turn an opp into a motherfuckin painting wells fargo where i'm banking nigga heard your album sales tankin nigga my bros down the road shank you nigga you might also like strike like a match knock him out his hat knife to a gun fight this ain't none of that had to cut her off she got too attached i ain't wastin time that i'm never gettin back takin less l's makin more m's put her skims on now she actin like she kim take it to the paint take it to the rim you look good on camera baby let's go make a film  god lurkin come up off that bag for the boy that keep working dissin on his album and it flopped he deserved it come up out that booth and bring that energy in person got so many hits it wouldn't be fair to do no verses i could really go five hours in the stadium what happened to that nigga claiming o v o we traded him thought i was a popstar i'm slaughter gang i baited em walk around like prince cause i got a lot of lady friends used to be in  sauga out at sega city playdium skatin through this album like a montreal canadien way that i ran shit you'd think i was iranian niggas see my deal look at they deal and now they hate the kid fuck let me kick it basic niggas ain't got love for the boy so they fake it crack a couple jokes to some bitches on some snake shit but if i send a verse to they ass then they'll take it shoot a video arm around me like we aces or pop out at my shows jump around with me on stages probably why these hoes love to shower me with praises might've fucked a rapper girl but you ain't fucked drake yet yeah metro in this bitch goin brazy strike like a match knock him out his hat knife to a gun fight this ain't none of that had to cut her off she got too attached i ain't wastin time that i'm never gettin back takin less l's makin more m's put her skims on now she actin like she kim take it to the paint take it to the rim you look good on camera baby let's go make a film  metro metro in this bitch goin brazy
22,0,yeah this ain't no motherfuckin gimmick  gimmick win or lose this ain't no scrimmage  win or lose balmain my shoes and my fitted  damn damn you fuckboys and you critics  critics got the trap jumpin like crickets  jumpin out lambo truck look like it's kitted  skrrt load it up hit the block spin it  spin it loyal to my dawgs we committed  committed yeah  uh i told you none of my shit rented  no they use the lingo i invented  yeah in this g boosted my adrenaline  my adrenaline high fashion feel like fly shit i'm chillin in  fly my dawg down the road might have to kill again  kill swear the finest hoes come out for benjamins  fine we some dinosaurs who think you bigger than  who think you bigger than this chain cost a quarter milli  uh condo sixty floors up you can see the city  high when the bitch let me fuck she hate to admit it  uh her shit wet when she bust my shit sticky sticky  my shit sticky sticky yeah i dig it dig it  dig it dig it wanna bring your friend too yeah i'm with it with it  i'm with it with it nut inside look like glue in your pretty kitty  uh my next signed deal i'm spendin a ticket ticket  ticket ticket see gunna live get tickets as low as $ you might also like this ain't no motherfuckin gimmick  nah win or lose this ain't no scrimmage  uh balmain my shoes and my fitted  fitted damn you fuckboys and you critics  damn you fuck niggas got the trap jumpin like crickets  jumpin out lambo truck look like it's kitted  skrrt load it up hit the block spin it  spin it loyal to my dawgs we committed  yeah love for em all bossed up and gave a few bones to my dawgs  bones to my dawgs fuck the jail system man fuck the four walls i feel like  pac above all the law  yeah i pour a quick dew up and let it dissolve guwop backwoods look like logs pull out that trench blazer the end and the fall the world full of haters and internet blogs  the world full of haters and internet blogs i'm way out in greece ain't receivin no calls he disrespect chop off his head with a saw  chop it off you look out cause you think a blessing involved ain't none of these cheap chrome cross on my drawers she kissed on my cheek i dug in her jaws don't get on your knees you ain't toppin it off you niggas police and be tellin it all this ain't no motherfuckin gimmick  gimmick win or lose this ain't no scrimmage  scrimmage balmain my shoes and my fitted  damn damn you fuckboys and you critics  damn you fuckboys got the trap jumpin like crickets  crickets lambo truck look like it's kitted  kitted load it up hit the block spin it  load it up loyal to my dawgs we committed  mitted
23,1,yo change the fucking channel i burn a coma candle when the flame fades consider my flatline a soldier's sample we them cats talking noise behind that new york trash heap where the stench of commuter briefcase replaces a bad sleep and it's worker zig-zagers versus piggy badge flashers training generation fallout waterfall bricklayer pincushion crawl out there's smoke in my iris but i painted a sunny day on the insides of my eyelids so i'm ready now  what you ready for i'm ready for life in this city and my wings have grown almost enough to lift me i'm a dinosaur with jones beach in my hourglass passing the time with serial killer coloringbooks and bags of marbles don't tell me you ain't the droid that held the match to the charcoals don't tell me lucifer and god don't carpool this is our school i'm not trying to graduate to life at the personalized barstool head in a jar on the desk feet dangling in a shark pool man please man please my name stands for my being and my being stands for the woman who stood and braved the storm to raise the seedling brother sun sister moon mother beautiful yeah middle sibling suitable but far from son of excellence back in a long time ago i was to way the wishes wish but missers miss i slept through my appointment saw the liquid dreams of a thousand babies solidify and picked the rose that wilted the second i introduced myself as nervous well it appears the scars of learning have spoken some are burning some have frozen some deserve tall tales some wrote them some are just a brutal repercussion of devotion mine are all of the above cuz everything leads to erosion now where i live there's a homeless man he sits upon a crate he makes a rusty trumpet sound like the music that angels make now if you ever come and visit me i suggest you watch the show tell him aesop rock sent ya just to hear his horn blow like this you might also like* horn samples* and i ain't getting any younger my knuckles wear their bruises well i've yet to lose that hunger but only time can tell prodigal son with a prodigal wish to sew that prodigal stitch and crucify bigot voodoo doll on two popsicle sticks see your name is ambiguity my name is something hands can't hold but hearts part ocean scapes just to watch the starlet unfold it's like sketching a circle in the dirt with a pointed stick knowing the wind'll kill it some day still it calls my burning wits for now and if i plow the fields that don't guarantee plentiful harvest but starving artists die i set my alarm for five o'clock idols block survival crops the cycle stops for nothing the bible's carp revivalist winos flock by the hundreds to the opening scarlet carpets greeting their duel leading the stubborn mule to cruel rugburn but y'all numb from gut fuel i administer eclipse there ain't no motor like a martyr-made motor cuz a martyr-made motor don't quit i am an epiphany i am webbed foot mammal channel surfing my way to the top tugboat in a bottle with no holes poked in the nozzle i fed em bedlam diluted in limelight till that rookie boogie graduated hostile and the vehicle is grandeur and it veered over the median the second my halo ran outta helium demoted to thorn crown damn talk about numbskull i was born bound to a stencil called symmetry but my energy's a rental so i take this now to say thank you senorita for holding a flame to a lost wick thank you james anthony for the band-aids on my ego y'all are family for life i'll take that bullet to preserve you i wanna be something spectacular on the day the sun runs outta batteries attach my fashion to the casualties of anarchy save my nickels up to buy that homeless man a brand new horn then sit up on his crate as i witness the beauty born like this i ain't gettin any younger)* horn samples to end*
24,1,our whole universe was in a hot dense state then nearly fourteen billion years ago expansion started wait the earth began to cool the autotrophs began to drool neanderthals developed tools we built a wall  we built the pyramids math science history unraveling the mystery that all started with the big bang  bang since the dawn of man is really not that long as every galaxy was formed in less time than it takes to sing this song a fraction of a second and the elements were made the bipeds stood up straight the dinosaurs all met their fate they tried to leap but they were late and they all died  they froze their asses off the oceans and pangea see ya wouldn't wanna be ya set in motion by the same big bang it all started with the big bang see barenaked ladies live get tickets as low as $ you might also like it's expanding ever outward but one day it will pause and start to go the other way collapsing ever inward we won't be here it won't be heard our best and brightest figure that it'll make an even bigger bang australopithecus would really have been sick of us debating how we're here they're catching deer  we're catching viruses religion or astronomy descartes or deuteronomy it all started with the big bang music and mythology einstein and astrology it all started with the big bang it all started with the big bang
25,0,if the government refuse to develop the region and continue the marginalization and injustice the youths or the next people coming after us i think will be more brutal than what we have done calling me a monster calling us fake no way no way no way calling me a monster just cause we said we're from the block where it rains where we create barricades keep opposition away that's why we strapped with a k's don't get kidnapped from your place cause it could happen today not knowing how to behave that is a sign that you may just lose your life what a waste your body found in a lake you fucked around and the fisherman found you drowning for days you know we come from a place where people smile but it's fake how could they smile if you look around they surrounded by pain i've seen the sky turn to grey it took the light from the day it's like the heads of the state ain't comprehending the hate that the oppressed generate when they've been working like slaves to get some minimum wage you turn around and you blame them for their anger and rage put them in shackles and chains because of what they became we are the monsters you made see burna boy live get tickets as low as $ you might also like calling me a monster calling us fake you make the minotaur the dinosaur wake calling me a monster just cause we said no way no way no way calling me a monster make no mistake that there's only so much that you can take la-di-da-da-do-di-da-da-do-day we are the monsters you made i bet they thought it was cool probably thought we was fools when we would break all the rules and skip them classes in school because the teacher dem teaching what the white man dem teaching dem european teachings in my african school so fuck the classes in school fuck mungo park and the fool that said they found river niger they've been lying to you ain't no denying the truth see what i'm tryin to do is draw the line for the mothers crying we're dying as youths come walk a mile in my shoes see if you smile at the truth see if you digest your food that's when you might have a clue of what the fuck we go through you're fucking lucky if you live through the day better pray that god always staying with you ain't fuckin safe any day the reaper'll be coming for you we need a change and it ain't no way i'ma take an excuse my niggas findin a way or fuckin smile in the grave this is the price that you pay we are the monsters you made calling me a monster calling us fake you make the minotaur the dinosaur wake calling me a monster just cause we said no way no way no way calling me a monster make no mistake that there's only so much that you can take la-di-da-da-do-di-da-da-do-day we are the monsters you made since we met you people five hundred years ago look at us we have given everything you are still taking in exchange for that we have got nothing nothing and you know it but don't you think that this is over now over where is it over
